time[s],thrust[N]
0.051,95.05240677
0.0512,96.26558676
0.0514,97.23613075
0.0516,98.38865173
0.0518,99.78380872
0.052,101.1789657
0.0522,102.0888507
0.0524,103.4840077
0.0526,104.6365287
0.0528,106.1530036
0.053,107.3661836
0.0532,108.5187046
0.0534,110.0351796
0.0536,111.6729726
0.0538,113.0681296
0.054,114.4632865
0.0542,115.5551485
0.0544,117.4355775
0.0546,118.5274395
0.0548,120.2258915
0.055,121.4390714
0.0552,123.0162054
0.0554,124.5933394
0.0556,125.8065194
0.0558,127.3836534
0.056,129.2640824
0.0562,130.5379213
0.0564,131.9937373
0.0566,133.5708713
0.0568,135.6332773
0.057,137.2710703
0.0572,138.9088632
0.0574,140.5466562
0.0576,142.8516982
0.0578,144.3075142
0.058,146.1879431
0.0582,148.0077131
0.0584,149.9488011
0.0586,151.4046171
0.0588,153.1030691
0.059,154.983498
0.0592,156.68195
0.0594,158.805015
0.0596,160.746103
0.0598,162.3232369
0.06,164.5676199
0.0602,166.2660719
0.0604,168.2071599
0.0606,170.3302248
0.0608,172.3926308
0.061,174.5156958
0.0612,176.5781018
0.0614,178.7618257
0.0616,181.3095037
0.0618,183.1292737
0.062,185.3736567
0.0622,187.3754036
0.0624,189.9837406
0.0626,191.9854876
0.0628,194.5938245
0.063,196.7775485
0.0632,199.3252265
0.0634,201.5089505
0.0636,204.0566284
0.0638,206.3616704
0.064,208.9700074
0.0642,211.3357083
0.0644,213.8227273
0.0646,216.2490873
0.0648,218.9180832
0.065,221.3444432
0.0652,224.0134392
0.0654,226.6824352
0.0656,229.2301131
0.0658,231.8991091
0.066,234.5074461
0.0662,237.055124
0.0664,239.845438
0.0666,242.696411
0.0668,245.3654069
0.067,248.1557209
0.0672,250.8853759
0.0674,253.5543718
0.0676,256.5266628
0.0678,259.2563177
0.068,262.2892677
0.0682,265.3222177
0.0684,268.5371446
0.0686,271.5094356
0.0688,274.7243626
0.069,277.8179715
0.0692,281.0328985
0.0694,284.3691434
0.0696,287.6447294
0.0698,290.7383384
0.07,293.3466753
0.0702,296.9862153
0.0704,300.2618012
0.0706,303.5373872
0.0708,306.8736322
0.071,310.4525131
0.0712,314.0920531
0.0714,317.792252
0.0716,321.674428
0.0718,326.0418759
0.072,330.1666879
0.0722,333.8668868
0.0724,337.2637908
0.0726,340.4180587
0.0728,343.5723267
0.073,346.6659357
0.0732,350.0021806
0.0734,353.2777666
0.0736,356.4320346
0.0738,359.3436665
0.074,362.3159575
0.0742,364.6816584
0.0744,367.6539494
0.0746,370.3229454
0.0748,373.1132593
0.075,375.9642323
0.0752,378.3299333
0.0754,380.8169522
0.0756,379.7857493
0.0758,385.6696722
0.076,387.9747142
0.0762,390.1584381
0.0764,392.7061161
0.0766,394.8898401
0.0768,396.9522461
0.077,398.953993
0.0772,401.016399
0.0774,402.957487
0.0776,404.837916
0.0778,406.7790039
0.078,408.5381149
0.0782,410.2365669
0.0784,412.1169959
0.0786,413.3908348
0.0788,415.1499458
0.079,416.6057618
0.0792,417.8796008
0.0794,419.1534398
0.0796,420.3666198
0.0798,421.3978227
0.08,422.4896847
0.0802,423.7635237
0.0804,424.4307727
0.0806,425.1586807
0.0808,425.8865887
0.081,426.4931787
0.0812,426.0685657
0.0814,427.8276767
0.0816,428.3129487
0.0818,428.6769027
0.082,429.2228337
0.0822,429.5867876
0.0824,430.4360136
0.0826,431.4065576
0.0828,432.1951246
0.083,432.7410556
0.0832,433.5902816
0.0834,434.3181896
0.0836,435.3493926
0.0838,436.0773006
0.084,436.9871856
0.0842,437.4117986
0.0844,438.3216835
0.0846,439.0495915
0.0848,439.5955225
0.085,440.2627715
0.0852,440.9906795
0.0854,441.3546335
0.0856,441.9005645
0.0858,441.9612235
0.086,442.6891315
0.0862,442.9317675
0.0864,443.1744035
0.0866,443.0530855
0.0868,439.3528865
0.087,443.5383575
0.0872,443.4170395
0.0874,443.2957215
0.0876,443.3563805
0.0878,443.4170395
0.088,443.1744035
0.0882,443.1744035
0.0884,442.8104495
0.0886,443.0530855
0.0888,442.8711085
0.089,442.6891315
0.0892,442.8711085
0.0894,442.5071545
0.0896,442.5678135
0.0898,442.0218825
0.09,441.9005645
0.0902,441.9005645
0.0904,441.7792465
0.0906,441.4152925
0.0908,441.1726565
0.091,440.9906795
0.0912,440.6873845
0.0914,440.5054075
0.0916,440.2627715
0.0918,439.9594765
0.092,439.9594765
0.0922,439.6561815
0.0924,436.3805956
0.0926,439.3528865
0.0928,439.1709095
0.093,439.0495915
0.0932,439.0495915
0.0934,438.9282735
0.0936,438.8676145
0.0938,438.5643195
0.094,438.5036605
0.0942,438.3216835
0.0944,438.3216835
0.0946,438.2003655
0.0948,438.0790475
0.095,437.9577295
0.0952,437.9577295
0.0954,437.8970705
0.0956,437.7150935
0.0958,437.4724576
0.096,437.5331166
0.0962,437.6544345
0.0964,437.4117986
0.0966,437.6544345
0.0968,437.4117986
0.097,437.7757525
0.0972,437.8970705
0.0974,438.0790475
0.0976,438.3216835
0.0978,438.4430015
0.098,435.2280746
0.0982,439.1709095
0.0984,439.3528865
0.0986,439.5955225
0.0988,439.7774995
0.099,440.1414535
0.0992,440.3840895
0.0994,440.9300205
0.0996,441.4759515
0.0998,441.7792465
0.1,470.5551533
0.1002,470.9191073
0.1004,470.9918981
0.1006,471.6470153
0.1008,472.1565509
0.101,472.4477141
0.1012,473.1028313
0.1014,472.9572497
0.1016,473.2484129
0.1018,473.4667853
0.102,473.8307393
0.1022,474.7770197
0.1024,474.8498105
0.1026,475.1409737
0.1028,475.2137645
0.103,475.7233001
0.1032,476.1600449
0.1034,476.451208
0.1036,474.7770197
0.1038,477.1063252
0.104,477.3246976
0.1042,477.7614424
0.1044,477.907024
0.1046,478.4165596
0.1048,478.3437688
0.105,478.7805136
0.1052,478.998886
0.1054,479.0716768
0.1056,479.2172584
0.1058,479.0716768
0.106,478.998886
0.1062,478.9260952
0.1064,478.9260952
0.1066,479.0716768
0.1068,479.2172584
0.107,479.0716768
0.1072,479.0716768
0.1074,478.9260952
0.1076,479.4356308
0.1078,479.5812124
0.108,479.5812124
0.1082,479.6540032
0.1084,479.6540032
0.1086,479.5084216
0.1088,479.5084216
0.109,479.9451664
0.1092,479.5084216
0.1094,480.0179572
0.1096,480.090748
0.1098,479.9451664
0.11,480.1635388
0.1102,480.6730744
0.1104,480.454702
0.1106,480.6730744
0.1108,480.3091204
0.111,480.3819112
0.1112,480.3091204
0.1114,480.454702
0.1116,480.6730744
0.1118,480.9642376
0.112,481.4009824
0.1122,481.6921456
0.1124,481.8377272
0.1126,482.4200536
0.1128,482.7112168
0.113,483.0751708
0.1132,483.4391248
0.1134,483.730288
0.1136,484.2398236
0.1138,483.8030788
0.114,483.9486604
0.1142,484.3126144
0.1144,484.1670328
0.1146,484.5309868
0.1148,484.1670328
0.115,484.2398236
0.1152,484.1670328
0.1154,484.0214512
0.1156,484.094242
0.1158,483.9486604
0.116,484.1670328
0.1162,484.3126144
0.1164,484.1670328
0.1166,484.458196
0.1168,484.5309868
0.117,484.7493591
0.1172,484.8949407
0.1174,484.9677315
0.1176,485.3316855
0.1178,485.2588947
0.118,485.6956395
0.1182,485.9868027
0.1184,486.0595935
0.1186,486.2779659
0.1188,486.4235475
0.119,486.7147107
0.1192,487.2242463
0.1194,487.9521543
0.1196,488.0249451
0.1198,487.9521543
0.12,488.1705267
0.1202,488.3161083
0.1204,488.3888991
0.1206,488.2433175
0.1208,488.6072715
0.121,488.6072715
0.1212,488.7528531
0.1214,489.1168071
0.1216,489.9175059
0.1218,490.1358783
0.122,489.7719243
0.1222,489.9175059
0.1224,489.9902967
0.1226,490.5726231
0.1228,490.4270415
0.123,489.9902967
0.1232,490.2086691
0.1234,489.9175059
0.1236,490.2086691
0.1238,490.4270415
0.124,490.7909955
0.1242,491.1549495
0.1244,491.5189035
0.1246,492.0284391
0.1248,492.2468115
0.125,492.6835562
0.1252,492.8291378
0.1254,492.9747194
0.1256,493.1930918
0.1258,493.3386734
0.126,493.7026274
0.1262,493.3386734
0.1264,493.1930918
0.1266,493.1930918
0.1268,493.120301
0.127,493.1930918
0.1272,493.1930918
0.1274,492.9019286
0.1276,493.0475102
0.1278,493.484255
0.128,493.848209
0.1282,494.212163
